GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND, Ct, Cp
3.860302987337321245e-01,6.130686308532521167e+00,1.526949959058717532e+01,8.985723181664198034e-01,3.386888560440282969e+00,2.043704798532389455e-01,4.261854408304282388e-02,1.623074317015709422e-01,6.407229354290701062e-01,4.193429111838273271e-01
5.721098232694018515e-01,9.625932943537454989e+00,1.852267350699139214e+01,1.227637868014436195e+00,3.335015835025843423e+00,2.216613883247187666e-01,8.449179251186438033e-02,2.606264234597088780e-01,6.407229354290701062e-01,4.193429111838273271e-01
5.852796901154058151e-01,1.351988614017782453e+01,2.194306100582695862e+01,1.100070434255665086e+00,3.233537471210528480e+00,2.554875095964904697e-01,1.040446628053827843e-01,3.138751607727882642e-01,6.407229354290701062e-01,4.193429111838273271e-01
7.098757413881364720e-01,9.275500211729873712e+00,1.701431349378452751e+01,1.208596104998688858e+00,3.086888560440283147e+00,3.043704798532389511e-01,1.315790814091110927e-01,4.438046160897385350e-01,6.407229354290701062e-01,4.193429111838273271e-01
7.108177523244555429e-01,7.811465115365474610e+00,1.468503081317027714e+01,1.078179296220685313e+00,2.901478363815314765e+00,3.661738787282283747e-01,1.356375154444656450e-01,5.366397468954261507e-01,6.407229354290701062e-01,4.193429111838273271e-01
6.918568828126143710e-01,6.620574385482748347e+00,1.248582196973260139e+01,9.519496405205338796e-01,2.685410196624968382e+00,4.381966011250105208e-01,1.328771035767996878e-01,6.277949690445563391e-01,6.407229354290701062e-01,4.193429111838273271e-01
6.811592414548699459e-01,5.893909852318214959e+00,1.065183713371749619e+01,8.734562041996177806e-01,2.448127274585560453e+00,5.172909084714798489e-01,1.301667842401471875e-01,7.321387068144055155e-01,6.407229354290701062e-01,4.193429111838273271e-01
6.824715656642177386e-01,5.590720671052477719e+00,9.190720671052476476e+00,8.412953460132811534e-01,2.199999999999999734e+00,6.000000000000000888e-01,1.289877293192607521e-01,8.527382231090553377e-01,6.407229354290701062e-01,4.193429111838273271e-01
6.901282879514487600e-01,5.615341863308566772e+00,8.057414581909283058e+00,8.439070443239560237e-01,1.951872725414439236e+00,6.827090915285203288e-01,1.288243726213067208e-01,9.825220582917537637e-01,6.407229354290701062e-01,4.193429111838273271e-01
6.969400223818383866e-01,5.864212172293271408e+00,7.198964588043419432e+00,8.703060163474058974e-01,1.714589803375031529e+00,7.618033988749894903e-01,1.287327012162110262e-01,1.108093383501665086e+00,6.407229354290701062e-01,4.193429111838273271e-01
6.962234387279817582e-01,6.231426872823337959e+00,6.557861175018533828e+00,9.094696001522551976e-01,1.498521636184684924e+00,8.338261212717716919e-01,1.275348377858025739e-01,1.212224863433797539e+00,6.407229354290701062e-01,4.193429111838273271e-01
6.820534076411018942e-01,6.576151282882148230e+00,6.037338000827491946e+00,9.471003349734898880e-01,1.313111439559716542e+00,8.956295201467611156e-01,1.228753741571659286e-01,1.276031094865248461e+00,6.407229354290701062e-01,4.193429111838273271e-01
6.456361276209613420e-01,6.671550917700320049e+00,5.448376052051183471e+00,9.575143301973059184e-01,1.166462528789470765e+00,9.445124904035097080e-01,1.095928425604535822e-01,1.274340630189550572e+00,6.407229354290701062e-01,4.193429111838273271e-01
5.699380279304319119e-01,6.087701715793509827e+00,4.390961152339570184e+00,8.940127181651745802e-01,1.064984164974155822e+00,9.783386116752814665e-01,7.813204627488258558e-02,1.166606915350615337e+00,6.407229354290701062e-01,4.193429111838273271e-01
4.130282255317791473e-01,3.984106750452738765e+00,2.045293468398083014e+00,6.687091906195548052e-01,1.013111439559716498e+00,9.956295201467610934e-01,2.017503720938548101e-02,8.627529283977470875e-01,6.407229354290701062e-01,4.193429111838273271e-01
