GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND, Ct, Cp
2.222216734431342877e-01,6.360790697504992153e+00,1.551311537661991657e+01,9.235911872520069510e-01,3.389783859810340694e+00,2.034053800632197040e-01,2.481895684530349699e-02,9.284029084273494326e-02,4.705903529219703785e-01,3.342219312244646412e-01
2.892670005034894687e-01,1.925089908954218743e+01,2.821414601098930675e+01,1.042848484545924492e+00,3.349267197452954203e+00,2.169109341823485804e-01,5.017833697707697882e-02,1.387103921795210248e-01,4.705903529219703785e-01,3.342219312244646412e-01
2.756300381047736558e-01,2.445160374136364112e+01,3.304313396373875378e+01,8.630149759068045379e-01,3.269613619080381728e+00,2.434621269732061000e-01,1.813701689912340653e-02,1.838812318596740325e-01,4.705903529219703785e-01,3.342219312244646412e-01
3.515913848143067955e-01,1.951869415627766102e+01,2.756852710453842192e+01,1.042035341630735745e+00,3.153535631770163494e+00,2.821547894099454834e-01,7.523267377943897161e-02,2.192590057449166907e-01,4.705903529219703785e-01,3.342219312244646412e-01
3.838702263205293064e-01,1.708056810257563995e+01,2.443717005265540010e+01,1.040668178996310145e+00,3.004986132159948475e+00,3.316712892800170454e-01,8.966676595174205566e-02,2.745807794429864779e-01,4.705903529219703785e-01,3.342219312244646412e-01
4.362174569163860260e-01,1.411143521972603310e+01,2.064687959776225412e+01,1.094213512675979771e+00,2.829023795293476251e+00,3.903254015688412681e-01,1.079821760244172729e-01,3.595162014854851873e-01,4.705903529219703785e-01,3.342219312244646412e-01
4.853014514824139369e-01,1.198291759814004820e+01,1.759724136651618664e+01,1.137786219332466375e+00,2.631640807509172397e+00,4.561197308302759046e-01,1.253694818539319578e-01,4.629664884009563885e-01,4.705903529219703785e-01,3.342219312244646412e-01
5.453030232401152588e-01,1.013181806056708112e+01,1.475642583926615714e+01,1.218856520385664499e+00,2.419558809721230830e+00,5.268137300929232048e-01,1.479385359947646139e-01,5.962728177022372789e-01,4.705903529219703785e-01,3.342219312244646412e-01
5.604714147781376665e-01,9.390916545256295933e+00,1.299091654525629558e+01,1.216115084381517830e+00,2.199999999999999734e+00,6.000000000000000888e-01,1.544986044716868678e-01,6.984557479026306526e-01,4.705903529219703785e-01,3.342219312244646412e-01
5.546846451573188563e-01,9.094970569794369908e+00,1.167036279109528962e+01,1.195229888243676042e+00,1.980441190278768637e+00,6.731862699070770839e-01,1.534985671502655524e-01,7.768983183222618605e-01,4.705903529219703785e-01,3.342219312244646412e-01
5.433894071756766309e-01,9.016016547493558519e+00,1.060169277911741936e+01,1.189273975536264683e+00,1.768359192490827292e+00,7.438802691697241620e-01,1.501438223855612597e-01,8.421228780787072266e-01,4.705903529219703785e-01,3.342219312244646412e-01
5.270744382722551968e-01,9.090167309515157612e+00,9.754722931478930548e+00,1.194867553328996523e+00,1.570976204706522772e+00,8.096745984311590760e-01,1.451089376016202748e-01,8.899333096708545998e-01,4.705903529219703785e-01,3.342219312244646412e-01
5.051343690125882357e-01,9.211263912896747286e+00,9.054661962816982879e+00,1.204002500199174541e+00,1.395013867840050548e+00,8.683287107199830768e-01,1.377473420506258872e-01,9.152617712260149307e-01,4.705903529219703785e-01,3.342219312244646412e-01
4.770063555587426007e-01,9.229608462794432810e+00,8.379775514533664094e+00,1.205386325046388762e+00,1.246464368229835529e+00,9.178452105900548608e-01,1.265536591774751862e-01,9.139429003981496269e-01,4.705903529219703785e-01,3.342219312244646412e-01
4.403088010713815392e-01,8.881168905425072424e+00,7.489638683049953727e+00,1.179101716269976396e+00,1.130386380919617517e+00,9.565378730267941609e-01,1.079934561907370666e-01,8.796064310626001692e-01,4.705903529219703785e-01,3.342219312244646412e-01
3.805562317511153037e-01,7.710938871739122291e+00,5.947691950291997820e+00,1.067787593652504974e+00,1.050732802547044820e+00,9.830890658176517638e-01,7.463193818816116210e-02,7.828840916840857922e-01,4.705903529219703785e-01,3.342219312244646412e-01
2.674797350174147326e-01,4.921778933944978007e+00,2.969454254830052431e+00,7.700038575098839821e-01,1.010216140189658773e+00,9.965946199367803349e-01,2.283809681267827754e-02,5.599186073774798933e-01,4.705903529219703785e-01,3.342219312244646412e-01
