GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND, Ct, Cp
3.865900930901938204e-01,6.142805904921511129e+00,1.528161918697616528e+01,8.998579069829953925e-01,3.386888560440282969e+00,2.043704798532389455e-01,4.271747114258758055e-02,1.625363980753051496e-01,6.419666819728577778e-01,4.211731858747677637e-01
5.725029954719483838e-01,9.679105415665167911e+00,1.857584597911910507e+01,1.228137140053194187e+00,3.335015835025843423e+00,2.216613883247187666e-01,8.475326611273988064e-02,2.608210356422056564e-01,6.419666819728577778e-01,4.211731858747677637e-01
5.851806926215660232e-01,1.359253514144553066e+01,2.201571000709466475e+01,1.099351137213410601e+00,3.233537471210528480e+00,2.554875095964904697e-01,1.042620787309184033e-01,3.139283469088717249e-01,6.419666819728577778e-01,4.211731858747677637e-01
7.112830034744453966e-01,9.309685105972953068e+00,1.704849838802760686e+01,1.210823133939606278e+00,3.086888560440283147e+00,3.043704798532389511e-01,1.320830476044322632e-01,4.446801366510171882e-01,6.419666819728577778e-01,4.211731858747677637e-01
7.127447189748302714e-01,7.838876709619271743e+00,1.471244240742407428e+01,1.081013099205173411e+00,2.901478363815314765e+00,3.661738787282283747e-01,1.362783052648088855e-01,5.380725538265461738e-01,6.419666819728577778e-01,4.211731858747677637e-01
6.938047323675320399e-01,6.644613667386075839e+00,1.250986125163592888e+01,9.545738116444839605e-01,2.685410196624968382e+00,4.381966011250105208e-01,1.335340484603487754e-01,6.295409713469760637e-01,6.419666819728577778e-01,4.211731858747677637e-01
6.829601994284397737e-01,5.915308034604324305e+00,1.067323531600360553e+01,8.757260210284240065e-01,2.448127274585560453e+00,5.172909084714798489e-01,1.308071437441553075e-01,7.340557800639400110e-01,6.419666819728577778e-01,4.211731858747677637e-01
6.841325159345028606e-01,5.609748042769077792e+00,9.209748042769076548e+00,8.433136785965270610e-01,2.199999999999999734e+00,6.000000000000000888e-01,1.296080310050305162e-01,8.547971927712987306e-01,6.419666819728577778e-01,4.211731858747677637e-01
6.916437026406719868e-01,5.632613027290334529e+00,8.074685745891050814e+00,8.457390867906815490e-01,1.951872725414439236e+00,6.827090915285203288e-01,1.294260328777273317e-01,9.846624048041737742e-01,6.419666819728577778e-01,4.211731858747677637e-01
6.982995092831041362e-01,5.880106399174200860e+00,7.214858814924348884e+00,8.719919999124031706e-01,1.714589803375031529e+00,7.618033988749894903e-01,1.293118307155796398e-01,1.110231617322196662e+00,6.419666819728577778e-01,4.211731858747677637e-01
6.974250010572682346e-01,6.245816200772809523e+00,6.572250502968006280e+00,9.110403649966419826e-01,1.498521636184684924e+00,8.338261212717716919e-01,1.280735373460694937e-01,1.214281674312740034e+00,6.419666819728577778e-01,4.211731858747677637e-01
6.830535620382682804e-01,6.589008966005560630e+00,6.050195683950904346e+00,9.485039027218545860e-01,1.313111439559716542e+00,8.956295201467611156e-01,1.233523791131879155e-01,1.277853459163101668e+00,6.419666819728577778e-01,4.211731858747677637e-01
6.464478683189709418e-01,6.682794256975538971e+00,5.459619391326402393e+00,9.587416732760822846e-01,1.166462528789470765e+00,9.445124904035097080e-01,1.099885455448523230e-01,1.275889031539554130e+00,6.419666819728577778e-01,4.211731858747677637e-01
5.705764503782080332e-01,6.097369777786397549e+00,4.400629214332457906e+00,8.950382599387692872e-01,1.064984164974155822e+00,9.783386116752814665e-01,7.842563686910541954e-02,1.167868180488742524e+00,6.419666819728577778e-01,4.211731858747677637e-01
4.134817989521939463e-01,3.990958702749848541e+00,2.052145420695192346e+00,6.694630399881955629e-01,1.013111439559716498e+00,9.956295201467610934e-01,2.030960786380360539e-02,8.636724516271874208e-01,6.419666819728577778e-01,4.211731858747677637e-01
