GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND
4.992992246609729290e-01,8.368981448454739791e+00,1.740898144845473894e+01,1.134175887115497217e+00,3.365714285714285658e+00,2.114285714285714102e-01,6.512742239381724696e-02,2.141288321082097934e-01
5.416383520657382933e-01,1.406494201275911138e+01,2.278494201275911024e+01,1.094673841457830532e+00,3.297142857142856709e+00,2.342857142857143193e-01,9.035232565976736296e-02,2.641740491504085964e-01
5.816049431257044322e-01,1.356318854172267407e+01,2.196318854172267265e+01,1.099641697606706270e+00,3.228571428571428648e+00,2.571428571428571730e-01,1.029236280114257107e-01,3.105584564527123503e-01
6.341270455140012308e-01,1.197107122814965052e+01,2.005107122814965237e+01,1.138331449750434432e+00,3.160000000000000142e+00,2.800000000000000266e-01,1.160541010699883691e-01,3.654538918077572252e-01
7.011124667660800780e-01,9.284052770784185782e+00,1.704405277078418735e+01,1.209153274969653857e+00,3.091428571428571637e+00,3.028571428571428248e-01,1.283173188682578958e-01,4.320163999182329850e-01
7.169374410450937152e-01,8.865904791303728771e+00,1.630590479130372827e+01,1.177950264721171036e+00,3.022857142857142687e+00,3.257142857142857895e-01,1.348295333481804859e-01,4.759707468381056961e-01
7.197041017624219439e-01,8.355104161484511849e+00,1.547510416148451107e+01,1.132889960909761795e+00,2.954285714285714182e+00,3.485714285714285876e-01,1.371228162328661515e-01,5.123526919313926564e-01
7.165829678323514251e-01,7.882093180813233069e+00,1.468209318081323289e+01,1.085480805968763729e+00,2.885714285714285676e+00,3.714285714285714413e-01,1.376510111726099717e-01,5.446748566930573743e-01
7.113125702847883369e-01,7.452248436016279065e+00,1.393224843601627860e+01,1.041128655619998344e+00,2.817142857142857171e+00,3.942857142857142949e-01,1.372577722942156520e-01,5.750424482476536037e-01
7.055762753207726057e-01,7.075228485060042871e+00,1.323522848506004301e+01,1.001580497394468638e+00,2.748571428571428665e+00,4.171428571428571486e-01,1.364404376082741510e-01,6.045495931468807260e-01
7.000626308633760564e-01,6.758982370385288263e+00,1.259898237038528812e+01,9.670585043695441030e-01,2.680000000000000160e+00,4.400000000000000022e-01,1.355067881545162778e-01,6.337298761364064115e-01
6.954332454832482524e-01,6.491556189990542514e+00,1.201155618999054120e+01,9.378657829229442022e-01,2.611428571428571210e+00,4.628571428571429114e-01,1.345833561362471953e-01,6.632176021436080315e-01
6.918890102494661409e-01,6.270141370401116632e+00,1.147014137040111770e+01,9.136957441373538824e-01,2.542857142857143149e+00,4.857142857142857095e-01,1.337638916140847234e-01,6.933312747779806218e-01
6.895047360833531647e-01,6.089281635888947442e+00,1.096928163588894733e+01,8.941803085320966238e-01,2.474285714285714199e+00,5.085714285714285632e-01,1.330649320258636970e-01,7.243017078654812035e-01
6.882165908429064283e-01,5.944850963673987465e+00,1.050485096367398619e+01,8.788597936394779708e-01,2.405714285714285694e+00,5.314285714285714723e-01,1.324891569431531635e-01,7.562235965297186002e-01
6.878411064493743510e-01,5.834970870177390800e+00,1.007497087017739013e+01,8.672042388809190205e-01,2.337142857142857189e+00,5.542857142857142705e-01,1.320529266502750154e-01,7.890421953049371329e-01
6.882375045053007456e-01,5.755956079617313925e+00,9.675956079617314742e+00,8.588227278282589694e-01,2.268571428571428683e+00,5.771428571428570686e-01,1.317356646033407408e-01,8.227214944660156126e-01
6.892663997338615012e-01,5.704717337764355634e+00,9.304717337764355278e+00,8.533875671688323505e-01,2.200000000000000178e+00,5.999999999999999778e-01,1.315175445466207349e-01,8.572007205260968599e-01
6.907870901222050719e-01,5.678636998309105621e+00,8.958636998309104982e+00,8.506210895024123309e-01,2.131428571428571228e+00,6.228571428571428870e-01,1.313787444549251171e-01,8.923908452069618802e-01
6.926568103493124795e-01,5.675486586663149424e+00,8.635486586663148501e+00,8.502869089035163253e-01,2.062857142857142723e+00,6.457142857142856851e-01,1.312993796766738497e-01,9.281730690925146243e-01
6.947296867581895796e-01,5.693355833780673336e+00,8.333355833780672128e+00,8.521823931686345333e-01,1.994285714285714217e+00,6.685714285714285943e-01,1.312592870737731565e-01,9.643967543862100866e-01
6.968552084678623082e-01,5.730587809253906428e+00,8.050587809253906713e+00,8.561317830452552791e-01,1.925714285714285712e+00,6.914285714285713924e-01,1.312375616728902461e-01,1.000876421982050068e+00
6.988761092294022426e-01,5.785716004034737736e+00,7.785716004034738624e+00,8.619795182679085288e-01,1.857142857142857206e+00,7.142857142857141906e-01,1.312117637646741108e-01,1.037387487540009534e+00
7.006253394835751935e-01,5.857396764804451372e+00,7.537396764804449312e+00,8.695830705192764132e-01,1.788571428571428257e+00,7.371428571428572107e-01,1.311566086536185283e-01,1.073660050290559775e+00
