GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND, Ct, Cp
3.518132224394369678e-01,5.432048972282210286e+00,1.458437365139713471e+01,8.244642111389036687e-01,3.389783859810340694e+00,2.034053800632197040e-01,3.667970998172682962e-02,1.472801671341091023e-01,6.411990439561396915e-01,4.233461313430003092e-01
5.347682184140429840e-01,8.787805800641265819e+00,1.775105272208838514e+01,1.172058851499050869e+00,3.349267197452954203e+00,2.169109341823485804e-01,7.408763650400483625e-02,2.384174341335991709e-01,6.411990439561396915e-01,4.233461313430003092e-01
5.643149190671447046e-01,1.403313223787830033e+01,2.262466246025341476e+01,1.094988789723977174e+00,3.269613619080381728e+00,2.434621269732061000e-01,9.815112470727686833e-02,2.893278147124538902e-01,6.411990439561396915e-01,4.233461313430003092e-01
6.736057823250187759e-01,1.056353662855426201e+01,1.861336957681502469e+01,1.201118150703385234e+00,3.153535631770163494e+00,2.821547894099454834e-01,1.237447047997265320e-01,3.915021108581585585e-01,6.411990439561396915e-01,4.233461313430003092e-01
7.169526000413294353e-01,8.594162877804645717e+00,1.595076482788440586e+01,1.155042119951009694e+00,3.004986132159948475e+00,3.316712892800170454e-01,1.353041888019490546e-01,4.891644070448045722e-01,6.411990439561396915e-01,4.233461313430003092e-01
7.062265333403897616e-01,7.369088530683550964e+00,1.390453290871977288e+01,1.032558741711663730e+00,2.829023795293476251e+00,3.903254015688412681e-01,1.355593342702409998e-01,5.692227665272205916e-01,6.411990439561396915e-01,4.233461313430003092e-01
6.901170690550185727e-01,6.433865420906323074e+00,1.204818918928246063e+01,9.315681551086824053e-01,2.631640807509172397e+00,4.561197308302759046e-01,1.327937389797772538e-01,6.524028433544688532e-01,6.411990439561396915e-01,4.233461313430003092e-01
6.825968662341300730e-01,5.859662265753719623e+00,1.048427004445279564e+01,8.698233840240203740e-01,2.419558809721230830e+00,5.268137300929232048e-01,1.306008145688867528e-01,7.474106077267389514e-01,6.411990439561396915e-01,4.233461313430003092e-01
6.841486572533539423e-01,5.609925286947528456e+00,9.209925286947527212e+00,8.433324798112132870e-01,2.199999999999999734e+00,6.000000000000000888e-01,1.296140691888697238e-01,8.548180424229664398e-01,6.411990439561396915e-01,4.233461313430003092e-01
6.906731058047131944e-01,5.616450495090141715e+00,8.191842716391061430e+00,8.440246426807286317e-01,1.980441190278768637e+00,6.731862699070770839e-01,1.294249278270677705e-01,9.694421047223292787e-01,6.411990439561396915e-01,4.233461313430003092e-01
6.971805933130786892e-01,5.807479992822331738e+00,7.393156224446191693e+00,8.642881381007294639e-01,1.768359192490827292e+00,7.438802691697241620e-01,1.293786545702301227e-01,1.082203982461442004e+00,6.411990439561396915e-01,4.233461313430003092e-01
6.988577136763689523e-01,6.111961927700078512e+00,6.776517549663851447e+00,8.965861254069514841e-01,1.570976204706522772e+00,8.096745984311590760e-01,1.287225954366812142e-01,1.181356102581212264e+00,6.411990439561396915e-01,4.233461313430003092e-01
6.917764723735764232e-01,6.441702835355833656e+00,6.285100885276069249e+00,9.324237013253930950e-01,1.395013867840050548e+00,8.683287107199830768e-01,1.261562614864112364e-01,1.254531685149568698e+00,6.411990439561396915e-01,4.233461313430003092e-01
6.707012914537903159e-01,6.672473849792013745e+00,5.822640901531245916e+00,9.576150791195960910e-01,1.246464368229835529e+00,9.178452105900548608e-01,1.190689887940186709e-01,1.286056530392374109e+00,6.411990439561396915e-01,4.233461313430003092e-01
6.277892593388575415e-01,6.592227226350777514e+00,5.200697003975658816e+00,9.488552137926774543e-01,1.130386380919617517e+00,9.565378730267941609e-01,1.024041160209641366e-01,1.255123551957052719e+00,6.411990439561396915e-01,4.233461313430003092e-01
5.455599539386981611e-01,5.796704739088605507e+00,4.033457817641481924e+00,8.631451507229958020e-01,1.050732802547044820e+00,9.830890658176517638e-01,6.782026969676568928e-02,1.122656914316530141e+00,6.411990439561396915e-01,4.233461313430003092e-01
3.848058158933388428e-01,3.578666998064711890e+00,1.626342318949786314e+00,6.241028524393396060e-01,1.010216140189658773e+00,9.965946199367803349e-01,1.235823087222243620e-02,8.048329067173818352e-01,6.411990439561396915e-01,4.233461313430003092e-01
