GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND
6.022042197789719831e-01,5.947836495400286694e+00,1.498783649540028584e+01,8.791764845651219851e-01,3.365714285714285658e+00,2.114285714285714102e-01,6.694277919307237146e-02,2.603394141262275197e-01
7.429340869794588409e-01,7.024453451324244924e+00,1.574445345132424379e+01,9.960378036533288348e-01,3.297142857142856709e+00,2.342857142857143193e-01,9.680810570060732756e-02,3.556924561968759502e-01
7.891372429387026877e-01,6.933295112897525314e+00,1.533329511289752389e+01,9.860867959498272883e-01,3.228571428571428648e+00,2.571428571428571730e-01,1.096702587961096986e-01,4.147731695882230230e-01
7.992661794944541098e-01,6.506155718995632498e+00,1.458615571899563434e+01,9.394594936915310335e-01,3.160000000000000142e+00,2.800000000000000266e-01,1.145517118249173155e-01,4.578686430895599901e-01
7.943799847742823994e-01,5.996736273029683595e+00,1.375673627302968427e+01,8.843635390870445701e-01,3.091428571428571637e+00,3.028571428571428248e-01,1.155379094931916484e-01,4.929012515588953036e-01
7.841954560978842137e-01,5.499415359872845244e+00,1.293941535987284475e+01,8.316101153192024809e-01,3.022857142857142687e+00,3.257142857142857895e-01,1.147100926810685206e-01,5.241593528116000877e-01
7.730992703912972219e-01,5.059360211692468745e+00,1.217936021169246885e+01,7.848223943423706661e-01,2.954285714285714182e+00,3.485714285714285876e-01,1.132505556609940539e-01,5.539469419772093950e-01
7.631169900092908964e-01,4.688756175315936581e+00,1.148875617531593640e+01,7.449055564322500933e-01,2.885714285714285676e+00,3.714285714285714413e-01,1.117432935478739481e-01,5.836125968569646494e-01
7.552485220274042232e-01,4.381342680369647802e+00,1.086134268036964734e+01,7.117948143876400291e-01,2.817142857142857171e+00,3.942857142857142949e-01,1.103708697903632574e-01,6.140864262619372127e-01
7.497323376788919136e-01,4.130859566549371920e+00,1.029085956654937206e+01,6.848159019307130668e-01,2.748571428571428665e+00,4.171428571428571486e-01,1.092194422796392839e-01,6.458439497411722074e-01
7.464041019687919221e-01,3.933035603750665743e+00,9.773035603750665601e+00,6.630903611199161496e-01,2.680000000000000160e+00,4.400000000000000022e-01,1.083111422689787828e-01,6.790563434813260413e-01
7.452266132865377202e-01,3.777944366756249117e+00,9.297944366756247803e+00,6.460272780714144680e-01,2.611428571428571210e+00,4.628571428571429114e-01,1.076253801277273214e-01,7.139881004845842760e-01
7.460358339506346637e-01,3.659895502027541880e+00,8.859895502027542946e+00,6.330395837201224785e-01,2.542857142857143149e+00,4.857142857142857095e-01,1.071446888078027293e-01,7.507782666126326943e-01
7.486409020922087931e-01,3.574311685070111544e+00,8.454311685070111437e+00,6.236236824438630144e-01,2.474285714285714199e+00,5.085714285714285632e-01,1.068470854118973301e-01,7.895101378689949323e-01
7.528536440252969753e-01,3.517432401471163317e+00,8.077432401471162038e+00,6.173658437767880480e-01,2.405714285714285694e+00,5.314285714285714723e-01,1.067106303472993567e-01,8.302354108183719328e-01
7.584929312580499516e-01,3.486196802754939483e+00,7.726196802754938808e+00,6.139293142520169111e-01,2.337142857142857189e+00,5.542857142857142705e-01,1.067150274414348649e-01,8.729787918349835030e-01
7.653826856732131034e-01,3.478111296919503381e+00,7.398111296919504198e+00,6.130397497593166323e-01,2.268571428571428683e+00,5.771428571428570686e-01,1.068416706870890381e-01,9.177366707984712102e-01
7.733484027337039768e-01,3.491134057070671926e+00,7.091134057070672014e+00,6.144725092258499499e-01,2.200000000000000178e+00,5.999999999999999778e-01,1.070733017378737995e-01,9.644736365286957769e-01
7.822138263026024996e-01,3.523582427131973116e+00,6.803582427131972032e+00,6.180424674251286943e-01,2.131428571428571228e+00,6.228571428571428870e-01,1.073936683783416751e-01,1.013118341100688102e+00
7.917981784260328393e-01,3.574060827662405071e+00,6.534060827662404591e+00,6.235960832005789101e-01,2.062857142857142723e+00,6.457142857142856851e-01,1.077872776730562504e-01,1.063559235022842886e+00
8.019138424528363673e-01,3.641404299637300834e+00,6.281404299637300070e+00,6.310051881722766876e-01,1.994285714285714217e+00,6.685714285714285943e-01,1.082392095907924734e-01,1.115640175746990481e+00
8.123641569688833108e-01,3.724632144269097722e+00,6.044632144269098006e+00,6.401618862064233362e-01,1.925714285714285712e+00,6.914285714285713924e-01,1.087348849973643200e-01,1.169155547210562585e+00
8.229407179955327001e-01,3.822904948112299195e+00,5.822904948112300083e+00,6.509738253325909607e-01,1.857142857142857206e+00,7.142857142857141906e-01,1.092595882132899043e-01,1.223844029515215093e+00
8.334188229337460285e-01,3.935472993819776555e+00,5.615472993819774494e+00,6.633585219133742994e-01,1.788571428571428257e+00,7.371428571428572107e-01,1.097972717080367006e-01,1.279378778655957394e+00
8.435458416927967829e-01,4.061575528676215185e+00,5.421575528676215505e+00,6.772322782040630651e-01,1.719999999999999973e+00,7.600000000000000089e-01,1.103268569969195478e-01,1.335345185733066264e+00
8.529665112623596723e-01,4.201698506660069832e+00,5.241698506660071644e+00,6.924457877726755139e-01,1.651428571428571690e+00,7.828571428571428070e-01,1.108320682697753329e-01,1.391114250716289247e+00
8.614032703544735048e-01,4.354738838013148872e+00,5.074738838013147735e+00,7.089293807741435804e-01,1.582857142857142740e+00,8.057142857142858272e-01,1.112835138745545127e-01,1.446117337521477308e+00
8.685599573904794202e-01,4.518923029907755406e+00,4.918923029907755762e+00,7.266132512450053094e-01,1.514285714285714235e+00,8.285714285714286254e-01,1.116327762983146260e-01,1.499701496718724103e+00
8.739617258193459470e-01,4.692301224602336340e+00,4.772301224602337300e+00,7.452873848632951548e-01,1.445714285714285952e+00,8.514285714285714235e-01,1.117899073984021663e-01,1.550844788947923547e+00
8.768685456993401406e-01,4.870765121212065729e+00,4.630765121212067292e+00,7.645092867708648265e-01,1.377142857142857446e+00,8.742857142857141106e-01,1.115615274107564781e-01,1.597958416160692119e+00
8.760048053987578021e-01,5.045475210930437271e+00,4.485475210930436774e+00,7.833268754855905458e-01,1.308571428571428497e+00,8.971428571428572418e-01,1.105327910343129189e-01,1.638322819456167201e+00
8.689202606152436337e-01,5.197688497344150171e+00,4.317688497344150278e+00,7.996043729101798281e-01,1.239999999999999991e+00,9.200000000000000400e-01,1.078451764072334146e-01,1.666740850943200458e+00
8.506198885343155824e-01,5.281533385797208879e+00,4.081533385797206925e+00,8.084982376448340835e-01,1.171428571428571042e+00,9.428571428571430602e-01,1.014743942103205621e-01,1.672592741293533747e+00
8.083992521066353243e-01,5.170927246072015038e+00,3.650927246072013688e+00,7.967656673750449503e-01,1.102857142857142536e+00,9.657142857142858583e-01,8.632314552838445121e-02,1.628941264742808093e+00
6.933690800036191870e-01,4.377769179980738556e+00,2.537769179980737810e+00,7.114099215591902503e-01,1.034285714285714253e+00,9.885714285714286564e-01,4.664672360869976525e-02,1.432370851056141259e+00
