GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND
2.791916435243410599e-01,1.754104948419769627e+01,2.658104948419769542e+01,1.041063508866646004e+00,3.365714285714285658e+00,2.114285714285714102e-01,4.637505955113330885e-02,1.283444709593448974e-01
2.674080309772270958e-01,2.436241145851633405e+01,3.308241145851633291e+01,8.609511705692913797e-01,3.297142857142856709e+00,2.342857142857143193e-01,1.732715074770866878e-02,1.718728269215213100e-01
2.806606871104282419e-01,2.394253116150775185e+01,3.234253116150775043e+01,8.482005418207645420e-01,3.228571428571428648e+00,2.571428571428571730e-01,1.846301919161838154e-02,1.957294657322059261e-01
3.486746007082660581e-01,1.884762849748093672e+01,2.692762849748093856e+01,1.044412073936139995e+00,3.160000000000000142e+00,2.800000000000000266e-01,7.388368441101031414e-02,2.141853153461010517e-01
3.671911892084308016e-01,1.826816612119792538e+01,2.602816612119792694e+01,1.046727607907300905e+00,3.091428571428571637e+00,3.028571428571428248e-01,8.224262633488391150e-02,2.423387632402901892e-01
3.804198491662916792e-01,1.743192056731934514e+01,2.487192056731934642e+01,1.040080365471345525e+00,3.022857142857142687e+00,3.257142857142857895e-01,8.836609032920189621e-02,2.681347708459226320e-01
4.017499809955261680e-01,1.600028376170874722e+01,2.312028376170874822e+01,1.063599567839909499e+00,2.954285714285714182e+00,3.485714285714285876e-01,9.557006411215426822e-02,2.994692158603030618e-01
4.217609632495100680e-01,1.484607801140590055e+01,2.164607801140590126e+01,1.083137715828303760e+00,2.885714285714285676e+00,3.714285714285714413e-01,1.029026730046861682e-01,3.321892799636950722e-01
4.390594902827489876e-01,1.391958794256123610e+01,2.039958794256123653e+01,1.096112990667710507e+00,2.817142857142857171e+00,3.942857142857142949e-01,1.087499412062101212e-01,3.653420101133940667e-01
4.535319500062573450e-01,1.326149848694020150e+01,1.942149848694020164e+01,1.102628727852077217e+00,2.748571428571428665e+00,4.171428571428571486e-01,1.138975585152313813e-01,3.982794690649896219e-01
4.717626669163188513e-01,1.240414923895612986e+01,1.824414923895612972e+01,1.122143723354323885e+00,2.680000000000000160e+00,4.400000000000000022e-01,1.200037390891181416e-01,4.351736602706323676e-01
4.830374319098800773e-01,1.241904446120526728e+01,1.793904446120526686e+01,1.121795916134293192e+00,2.611428571428571210e+00,4.628571428571429114e-01,1.265672795016352659e-01,4.690574252443139858e-01
5.292592481158462370e-01,1.011430713449635554e+01,1.531430713449635661e+01,1.219348795415765130e+00,2.542857142857143149e+00,4.857142857142857095e-01,1.378476912843339952e-01,5.329067692867985873e-01
5.232351375731327803e-01,1.113112620547957121e+01,1.601112620547957022e+01,1.177783204191776401e+00,2.474285714285714199e+00,5.085714285714285632e-01,1.425318275228310283e-01,5.545504269354607496e-01
5.494580007643257158e-01,9.877636356724332600e+00,1.443763635672433132e+01,1.226002190774817979e+00,2.405714285714285694e+00,5.314285714285714723e-01,1.484848714565828176e-01,6.057256495069942570e-01
5.572405238996392951e-01,9.734955938953881116e+00,1.397495593895388133e+01,1.228661558112243091e+00,2.337142857142857189e+00,5.542857142857142705e-01,1.525282879667601843e-01,6.409339999016523404e-01
5.610827419731361232e-01,9.540275413303412222e+00,1.346027541330341215e+01,1.225845303798267949e+00,2.268571428571428683e+00,5.771428571428570686e-01,1.542120624301323017e-01,6.722541056109665458e-01
5.614076701771271161e-01,9.418697754899046259e+00,1.301869775489904590e+01,1.217924935172576495e+00,2.200000000000000178e+00,5.999999999999999778e-01,1.550728065941932021e-01,6.996865471958332305e-01
5.604795506143979145e-01,9.300811318521343907e+00,1.258081131852134327e+01,1.210245037037221305e+00,2.131428571428571228e+00,6.228571428571428870e-01,1.552315010766072423e-01,7.255335665582935967e-01
5.586742870819284557e-01,9.204267532645975081e+00,1.216426753264597416e+01,1.203474726834029118e+00,2.062857142857142723e+00,6.457142857142856851e-01,1.549171745557210433e-01,7.501412990323951258e-01
5.561915805593197204e-01,9.131469426140363055e+00,1.177146942614036185e+01,1.197983186884862938e+00,1.994285714285714217e+00,6.685714285714285943e-01,1.542671812093439898e-01,7.736505931778122624e-01
5.531861695184662198e-01,9.079724229507135647e+00,1.139972422950713593e+01,1.194079777467656367e+00,1.925714285714285712e+00,6.914285714285713924e-01,1.534049266011073831e-01,7.961641252752968967e-01
5.496652901381567924e-01,9.049005956526485761e+00,1.104900595652648576e+01,1.191762538306640140e+00,1.857142857142857206e+00,7.142857142857141906e-01,1.523616332182751998e-01,8.176167302894122857e-01
5.455877151872640107e-01,9.038238388242737287e+00,1.071823838824273523e+01,1.190950284606318688e+00,1.788571428571428257e+00,7.371428571428572107e-01,1.511390196388109897e-01,8.378704808978765239e-01
5.408835548534964843e-01,9.045794412666912976e+00,1.040579441266691241e+01,1.191520274843345550e+00,1.719999999999999973e+00,7.600000000000000089e-01,1.497204772701922204e-01,8.567340658789388552e-01
5.354600918605746385e-01,9.069603551176212974e+00,1.010960355117621390e+01,1.193316322042306199e+00,1.651428571428571690e+00,7.828571428571428070e-01,1.480735542713945141e-01,8.739651701315397370e-01
5.292006263058939286e-01,9.107049346024988168e+00,9.827049346024987031e+00,1.196141053181769109e+00,1.582857142857142740e+00,8.057142857142858272e-01,1.461476583041581290e-01,8.892628315610967560e-01
5.219566620711946214e-01,9.154645189644133652e+00,9.554645189644134007e+00,1.199731455311646489e+00,1.514285714285714235e+00,8.285714285714286254e-01,1.438666288247136826e-01,9.022479617935519336e-01
5.135294675039510093e-01,9.207331349491564509e+00,9.287331349491566357e+00,1.203705846480021435e+00,1.445714285714285952e+00,8.514285714285714235e-01,1.411126238482814099e-01,9.124227960346668054e-01
5.036210357286112771e-01,9.257556039150340865e+00,9.017556039150342428e+00,1.207427103527709544e+00,1.377142857142857446e+00,8.742857142857141106e-01,1.376846446609065744e-01,9.190718361092211630e-01
4.917507519326421161e-01,9.293309957803566945e+00,8.733309957803566448e+00,1.209756349042577783e+00,1.308571428571428497e+00,8.971428571428572418e-01,1.332275036580963523e-01,9.210857599414179475e-01
4.772584447217351755e-01,9.281752497598178664e+00,8.401752497598179659e+00,1.209003420038969434e+00,1.239999999999999991e+00,9.200000000000000400e-01,1.272372623290942695e-01,9.168905154463173890e-01
4.582675873455879789e-01,9.158782522855414499e+00,7.958782522855411656e+00,1.200043555882710278e+00,1.171428571428571042e+00,9.428571428571430602e-01,1.182321310715457735e-01,9.024662863617163300e-01
4.293020121037199321e-01,8.724567513748606729e+00,7.204567513748604490e+00,1.167125947219948001e+00,1.102857142857142536e+00,9.657142857142858583e-01,1.020324821327993209e-01,8.663595415972901170e-01
3.633084028056863257e-01,7.341532925311354596e+00,5.501532925311353850e+00,1.029719041921399070e+00,1.034285714285714253e+00,9.885714285714286564e-01,6.570173368494751365e-02,7.522171079620193490e-01
