iter, err
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.385864222019455383e+01,5.384888173979697257e+01,5.384828689316756112e+01
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,4.417377199908467844e+01,4.406940290764415380e+01,4.406301299085543377e+01
3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.613277165958231762e+01,3.596044069048620884e+01,3.595009191006788996e+01
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.950552003241311638e+01,2.926117502798247827e+01,2.924637130917140126e+01
5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,2.399361633833484575e+01,2.373731087198012801e+01,2.372202047514682732e+01
6.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,1.953572265444505263e+01,1.927625537907164599e+01,1.926123852566935213e+01
7.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,1.592100455324590413e+01,1.568726417038664067e+01,1.567344192148501136e+01
8.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.300860700764090261e+01,1.278404392642029741e+01,1.277095494896473404e+01
9.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.063587500035371036e+01,1.041919835440824293e+01,1.040490297122274477e+01
1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,8.700924026946021073e+00,8.435065093430752725e+00,8.418813504301022377e+00
1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,7.073520653750867915e+00,6.822833340427173709e+00,6.808692102087364084e+00
1.200000000000000000e+01,1.200000000000000000e+01,1.200000000000000000e+01,5.739305067151250661e+00,5.527667110531719885e+00,5.516024442074285439e+00
1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,4.660926418800323212e+00,4.487988861018525455e+00,4.479348699452285310e+00
1.400000000000000000e+01,1.400000000000000000e+01,1.400000000000000000e+01,3.792833147757455059e+00,3.658086040583180321e+00,3.650922335409375830e+00
1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,3.092742185646202735e+00,2.988551152207518324e+00,2.983263135643417829e+00
1.600000000000000000e+01,1.600000000000000000e+01,1.600000000000000000e+01,2.527145707898929228e+00,2.451038533422110088e+00,2.447317792452274876e+00
1.700000000000000000e+01,1.700000000000000000e+01,1.700000000000000000e+01,2.069363539199914115e+00,2.018480264371696364e+00,2.015948656281934426e+00
1.800000000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01,1.701445138587627026e+00,1.670278337165533644e+00,1.669183494344095298e+00
1.900000000000000000e+01,1.900000000000000000e+01,1.900000000000000000e+01,1.403697368471018780e+00,1.389361807765498336e+00,1.389076825986817143e+00
2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,1.162568940104911075e+00,1.161698602189141782e+00,1.162069385607117367e+00
2.100000000000000000e+01,2.100000000000000000e+01,2.100000000000000000e+01,9.667851321267901810e-01,9.766034141712103267e-01,9.774461399942722117e-01
2.200000000000000000e+01,2.200000000000000000e+01,2.200000000000000000e+01,8.073887568865227848e-01,8.255683684773004183e-01,8.267688218105233577e-01
2.300000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01,6.772447632365908854e-01,7.018518921693234214e-01,7.033144847541668021e-01
2.400000000000000000e+01,2.400000000000000000e+01,2.400000000000000000e+01,5.706573274297572773e-01,6.000777431483159674e-01,6.008769623416463368e-01
2.500000000000000000e+01,2.500000000000000000e+01,2.500000000000000000e+01,4.830716797796841266e-01,5.135828865985145875e-01,5.126316343352199656e-01
2.600000000000000000e+01,2.600000000000000000e+01,2.600000000000000000e+01,4.108404824252174792e-01,4.398273581561215617e-01,4.390380848257474100e-01
2.700000000000000000e+01,2.700000000000000000e+01,2.700000000000000000e+01,3.511903988260663967e-01,3.780506437415894760e-01,3.773986954694464879e-01
2.800000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01,3.022041644482232892e-01,3.260825514851301565e-01,3.255460510888125714e-01
2.900000000000000000e+01,2.900000000000000000e+01,2.900000000000000000e+01,2.613472326414675306e-01,2.821759555087791083e-01,2.817358390499820064e-01
3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,2.270998369791605853e-01,2.449215148259862029e-01,2.445614069179307404e-01
3.100000000000000000e+01,3.100000000000000000e+01,3.100000000000000000e+01,1.982421315669192496e-01,2.131796313200363391e-01,2.128856281174706100e-01
3.200000000000000000e+01,3.200000000000000000e+01,3.200000000000000000e+01,1.737944918174812725e-01,1.860262037720183670e-01,1.857866109082449979e-01
3.300000000000000000e+01,3.300000000000000000e+01,3.300000000000000000e+01,1.529695895659198279e-01,1.627094218065970876e-01,1.625144788158829900e-01
3.400000000000000000e+01,3.400000000000000000e+01,3.400000000000000000e+01,1.351338944625621874e-01,1.426153863365063335e-01,1.424569977192574888e-01
3.500000000000000000e+01,3.500000000000000000e+01,3.500000000000000000e+01,1.197767616780533589e-01,1.252407759392010766e-01,1.251122608834906724e-01
3.600000000000000000e+01,3.600000000000000000e+01,3.600000000000000000e+01,1.064856459675423000e-01,1.101711266929512462e-01,1.100669937574736135e-01
3.700000000000000000e+01,3.700000000000000000e+01,3.700000000000000000e+01,9.492626955795388510e-02,9.706357459316754255e-02,9.697932377967219408e-02
3.800000000000000000e+01,3.800000000000000000e+01,3.800000000000000000e+01,8.482679288982110377e-02,8.563313816541115453e-02,8.556509029284872780e-02
