GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND, Ct, Cp
2.311960283475887334e-01,6.656659129481241166e+00,1.579547241153589532e+01,9.558887158887904301e-01,3.386888560440282969e+00,2.043704798532389455e-01,2.647838714864355139e-02,9.704278312010172769e-02,4.710575676640070264e-01,3.330003305530516156e-01
2.574414019789454389e-01,2.448475742998719085e+01,3.338149799344112978e+01,8.637821135711321041e-01,3.335015835025843423e+00,2.216613883247187666e-01,1.634493318654665558e-02,1.570871398119327300e-01,4.710575676640070264e-01,3.330003305530516156e-01
3.286359158110314094e-01,2.137415727660909326e+01,2.979733214225822735e+01,1.027808806043077672e+00,3.233537471210528480e+00,2.554875095964904697e-01,6.433713208865572686e-02,1.913025754082772756e-01,4.710575676640070264e-01,3.330003305530516156e-01
3.685569372072298733e-01,1.852774004096400873e+01,2.626655332301866252e+01,1.045690349486657178e+00,3.086888560440283147e+00,3.043704798532389511e-01,8.295696311084707619e-02,2.449516500285567888e-01,4.710575676640070264e-01,3.330003305530516156e-01
4.169035881592810244e-01,1.517951162520396480e+01,2.205307732300876822e+01,1.077765170188052846e+00,2.901478363815314765e+00,3.661738787282283747e-01,1.014684509798747525e-01,3.242449628509598281e-01,4.710575676640070264e-01,3.330003305530516156e-01
4.698376836425699477e-01,1.252733195407708067e+01,1.839257953832693460e+01,1.119267375691601174e+00,2.685410196624968382e+00,4.381966011250105208e-01,1.195339651290658750e-01,4.317818338267150335e-01,4.710575676640070264e-01,3.330003305530516156e-01
5.399203929828882975e-01,1.030414886221535475e+01,1.506207614361463598e+01,1.213343393789030555e+00,2.448127274585560453e+00,5.172909084714798489e-01,1.460203646110755649e-01,5.798732044120509244e-01,4.710575676640070264e-01,3.330003305530516156e-01
5.602273813455980189e-01,9.383338516647103944e+00,1.298333851664710359e+01,1.215621401735967888e+00,2.199999999999999734e+00,6.000000000000000888e-01,1.543484419583693312e-01,6.981482586184775130e-01,4.710575676640070264e-01,3.330003305530516156e-01
5.531928456984454012e-01,9.065559636912102093e+00,1.150763235551281838e+01,1.193011268548495263e+00,1.951872725414439236e+00,6.827090915285203288e-01,1.529720174006586608e-01,7.859292872939073193e-01,4.710575676640070264e-01,3.330003305530516156e-01
5.393931914268544903e-01,9.018574916611628467e+00,1.035332733236177560e+01,1.189466966630277511e+00,1.714589803375031529e+00,7.618033988749894903e-01,1.488470847034107647e-01,8.563185054780896310e-01,4.710575676640070264e-01,3.330003305530516156e-01
5.189731617770749761e-01,9.135561772824807747e+00,9.461996075020003616e+00,1.198291893888138393e+00,1.498521636184684924e+00,8.338261212717716919e-01,1.424411385403142327e-01,9.026596701366942366e-01,4.710575676640070264e-01,3.330003305530516156e-01
4.911645974783707125e-01,9.245758720704289502e+00,8.706945438649633218e+00,1.206604623031851675e+00,1.313111439559716542e+00,8.956295201467611156e-01,1.324795605764961803e-01,9.181509830001485239e-01,4.710575676640070264e-01,3.330003305530516156e-01
4.545481296577338903e-01,9.077610195424350437e+00,7.854435329775213859e+00,1.193920304877272187e+00,1.166462528789470765e+00,9.445124904035097080e-01,1.158041734935038730e-01,8.964386923204077373e-01,4.710575676640070264e-01,3.330003305530516156e-01
3.985542523945386773e-01,8.105347594494825003e+00,6.408607031040885360e+00,1.108560785116761371e+00,1.064984164974155822e+00,9.783386116752814665e-01,8.444983924824960020e-02,8.153728198657900217e-01,4.710575676640070264e-01,3.330003305530516156e-01
2.873224311378058671e-01,5.442673265918234193e+00,3.503859983863578442e+00,8.255911853915195442e-01,1.013111439559716498e+00,9.956295201467610934e-01,3.047676497815212521e-02,6.005743483730217047e-01,4.710575676640070264e-01,3.330003305530516156e-01
