GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND
2.742547231243818717e-01,1.883168166756255246e+01,2.787168166756255161e+01,1.044475797532217420e+00,3.365714285714285658e+00,2.114285714285714102e-01,4.499255957882473955e-02,1.236635545820527066e-01
2.668940630618896748e-01,2.509687841634856653e+01,3.381687841634856539e+01,8.775293022037164992e-01,3.297142857142856709e+00,2.342857142857143193e-01,1.719750871644226686e-02,1.690126559452371224e-01
2.803419537389056915e-01,2.451892687764014056e+01,3.291892687764013914e+01,8.645727547140072966e-01,3.228571428571428648e+00,2.571428571428571730e-01,1.834773932079843128e-02,1.924644107045850594e-01
3.420576365067146130e-01,1.972707599977898951e+01,2.780707599977899136e+01,1.041402603239537372e+00,3.160000000000000142e+00,2.800000000000000266e-01,7.115878679974992072e-02,2.073594213570762179e-01
3.603423943467941037e-01,1.896798582476325024e+01,2.672798582476325180e+01,1.043931125575371599e+00,3.091428571428571637e+00,3.028571428571428248e-01,7.938643841459498696e-02,2.344715733679042791e-01
3.752058104280962536e-01,1.783198212067345878e+01,2.527198212067346006e+01,1.043684523609670789e+00,3.022857142857142687e+00,3.257142857142857895e-01,8.616020462631268639e-02,2.599511947945165602e-01
3.906706090458432756e-01,1.674915434205171039e+01,2.386915434205171138e+01,1.048010679229468778e+00,2.954285714285714182e+00,3.485714285714285876e-01,9.232550524323759888e-02,2.875573660405724707e-01
4.127409166477546409e-01,1.533464752630296957e+01,2.213464752630297028e+01,1.075134548473852591e+00,2.885714285714285676e+00,3.714285714285714413e-01,9.997490004679786268e-02,3.204705746279787326e-01
4.312552534397189330e-01,1.431533517045861359e+01,2.079533517045861402e+01,1.091689463517283132e+00,2.817142857142857171e+00,3.942857142857142949e-01,1.063870095375442776e-01,3.536927777507282156e-01
4.461787585149718516e-01,1.357968118502996546e+01,1.973968118502996560e+01,1.099478404108614082e+00,2.748571428571428665e+00,4.171428571428571486e-01,1.115440239213299628e-01,3.863670734462642531e-01
4.620497210719159975e-01,1.282405774076430305e+01,1.866405774076430291e+01,1.112338753261341129e+00,2.680000000000000160e+00,4.400000000000000022e-01,1.169525940154194088e-01,4.210189599162131868e-01
4.740943081422234751e-01,1.275216685673262873e+01,1.827216685673262830e+01,1.114017423649897864e+00,2.611428571428571210e+00,4.628571428571429114e-01,1.234837118425948788e-01,4.549219917672286395e-01
5.231880812380620416e-01,1.003654243837552329e+01,1.523654243837552436e+01,1.221534951531611846e+00,2.542857142857143149e+00,4.857142857142857095e-01,1.341961595517958961e-01,5.198811710659806407e-01
4.970583430271058867e-01,1.225751623464578088e+01,1.713751623464577989e+01,1.125567641221469017e+00,2.474285714285714199e+00,5.085714285714285632e-01,1.347267011334087605e-01,5.240460992960681574e-01
5.440019787996368539e-01,9.788098005366721921e+00,1.434809800536672064e+01,1.228519333182461759e+00,2.405714285714285694e+00,5.314285714285714723e-01,1.448973355501678717e-01,5.926194959051236388e-01
5.482459697123382991e-01,1.008184835612886232e+01,1.432184835612886253e+01,1.220261291193164510e+00,2.337142857142857189e+00,5.542857142857142705e-01,1.502427436115909565e-01,6.243303393427614978e-01
5.567986237062523269e-01,9.710277953790228622e+00,1.363027795379023033e+01,1.228429839941692414e+00,2.268571428571428683e+00,5.771428571428570686e-01,1.530229308330394444e-01,6.602991065284015137e-01
5.598621726365480278e-01,9.545269602833782230e+00,1.314526960283378187e+01,1.226170658165067318e+00,2.200000000000000178e+00,5.999999999999999778e-01,1.544806054249488192e-01,6.908735398085174007e-01
5.596687488942728717e-01,9.441631954580655517e+00,1.272163195458065488e+01,1.219419019842387986e+00,2.131428571428571228e+00,6.228571428571428870e-01,1.551146537526561231e-01,7.176740835955663922e-01
5.582963314988471648e-01,9.343549197736590983e+00,1.230354919773659006e+01,1.213029263696195015e+00,2.062857142857142723e+00,6.457142857142856851e-01,1.551015464816200007e-01,7.428930523512231598e-01
5.561455249036815207e-01,9.262801907101884780e+00,1.190280190710188357e+01,1.207768853882859039e+00,1.994285714285714217e+00,6.685714285714285943e-01,1.546990375262889683e-01,7.669132732412691222e-01
5.532573581849733468e-01,9.206668836691836333e+00,1.152666883669183662e+01,1.203655869692421110e+00,1.925714285714285712e+00,6.914285714285713924e-01,1.539440687903134153e-01,7.897000971141631132e-01
5.497655460196970711e-01,9.171195338760913529e+00,1.117119533876091353e+01,1.200979919171519583e+00,1.857142857142857206e+00,7.142857142857141906e-01,1.529486093913586253e-01,8.113190184414887929e-01
5.456845054992462973e-01,9.155242402798929646e+00,1.083524240279892759e+01,1.199776506207269389e+00,1.788571428571428257e+00,7.371428571428572107e-01,1.517502211248371868e-01,8.316990813061185817e-01
5.409622530416593467e-01,9.157611448439954671e+00,1.051761144843995410e+01,1.199955215646340889e+00,1.719999999999999973e+00,7.600000000000000089e-01,1.503435017242729099e-01,8.506727295022658009e-01
5.355138490452759914e-01,9.176387504955195951e+00,1.021638750495519687e+01,1.201371591282887286e+00,1.651428571428571690e+00,7.828571428571428070e-01,1.487007970504778953e-01,8.680087573683871183e-01
5.292243745366603802e-01,9.208945067131903528e+00,9.928945067131902391e+00,1.203827577597958109e+00,1.582857142857142740e+00,8.057142857142858272e-01,1.467722955490048664e-01,8.834091009684463813e-01
5.219363653749617971e-01,9.251542267604909497e+00,9.651542267604909853e+00,1.207035326879798864e+00,1.514285714285714235e+00,8.285714285714286254e-01,1.444746428486476109e-01,8.964800728282760200e-01
5.133593059251075896e-01,9.302836830853681960e+00,9.382836830853683807e+00,1.210376992238024974e+00,1.445714285714285952e+00,8.514285714285714235e-01,1.416157721057083319e-01,9.065803016580621376e-01
5.033304051274445357e-01,9.351307808620598294e+00,9.111307808620599857e+00,1.213534710659322391e+00,1.377142857142857446e+00,8.742857142857141106e-01,1.380993714116891535e-01,9.132026635928583991e-01
4.914599597156356081e-01,9.382951825670765800e+00,8.822951825670765302e+00,1.215596210141418165e+00,1.308571428571428497e+00,8.971428571428572418e-01,1.336446514023409415e-01,9.154025406404594500e-01
4.770056504850254120e-01,9.368647809484038191e+00,8.488647809484039186e+00,1.214664352409383641e+00,1.239999999999999991e+00,9.200000000000000400e-01,1.276815598786437134e-01,9.114894067221137597e-01
4.582337705495397873e-01,9.237676207496624770e+00,8.037676207496621927e+00,1.205994917006515399e+00,1.171428571428571042e+00,9.428571428571430602e-01,1.188467726440397415e-01,8.977203629811216778e-01
4.293629225461765841e-01,8.799765011273731119e+00,7.279765011273728881e+00,1.172960996981964099e+00,1.102857142857142536e+00,9.657142857142858583e-01,1.026693685972390885e-01,8.621623729066550945e-01
3.636705665495488793e-01,7.398700543947120956e+00,5.558700543947120210e+00,1.035610361399130763e+00,1.034285714285714253e+00,9.885714285714286564e-01,6.622181346746081054e-02,7.493626219606699390e-01
