iter, err
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.069063116354570298e+01,5.068297028295909001e+01,5.068250460270120783e+01
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,4.130453066298328224e+01,4.121929550229286576e+01,4.121416394277240869e+01
3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.370707174842008413e+01,3.357265973062415299e+01,3.356445217994178165e+01
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.757681633052175485e+01,2.736840642490872000e+01,2.735589712630360637e+01
5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,2.215418228930053246e+01,2.196217520599141437e+01,2.195013305547587734e+01
6.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,1.815941738312207221e+01,1.791823016554056736e+01,1.790372266304786564e+01
7.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,1.476507587891365958e+01,1.455113710390767068e+01,1.453878649197222295e+01
8.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.205925233710698308e+01,1.186673436897761924e+01,1.185555673710405777e+01
9.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,9.858632235185487147e+00,9.693156348596104976e+00,9.683636734751381425e+00
1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,8.082567683961148219e+00,7.938315597212958430e+00,7.929108075794301769e+00
1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,6.643442361139884511e+00,6.509127472218525945e+00,6.501124728622551530e+00
1.200000000000000000e+01,1.200000000000000000e+01,1.200000000000000000e+01,5.469556186412486198e+00,5.354606796925633461e+00,5.349061440436114090e+00
1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,4.511234137818362910e+00,4.431192403140149949e+00,4.427717614001552171e+00
1.400000000000000000e+01,1.400000000000000000e+01,1.400000000000000000e+01,3.731370648396331813e+00,3.686596850111775847e+00,3.684393713865119935e+00
1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,3.104953725505269269e+00,3.072174867688231448e+00,3.068292495692963584e+00
1.600000000000000000e+01,1.600000000000000000e+01,1.600000000000000000e+01,2.597681600402643731e+00,2.562916496296703706e+00,2.559820826882329481e+00
1.700000000000000000e+01,1.700000000000000000e+01,1.700000000000000000e+01,2.182668242626905286e+00,2.144942057253564460e+00,2.142521280832064168e+00
1.800000000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01,1.839806604461682094e+00,1.802870388360150455e+00,1.797366303191333170e+00
1.900000000000000000e+01,1.900000000000000000e+01,1.900000000000000000e+01,1.547279904285421948e+00,1.506036904214169470e+00,1.502565679856984859e+00
2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,1.304852281314583529e+00,1.264586592810169385e+00,1.257511712461622411e+00
2.100000000000000000e+01,2.100000000000000000e+01,2.100000000000000000e+01,1.103401523492698155e+00,1.048377230269750493e+00,1.042358706981639571e+00
2.200000000000000000e+01,2.200000000000000000e+01,2.200000000000000000e+01,9.355041951902318687e-01,8.777142181678999622e-01,8.753840942051495100e-01
2.300000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01,7.953179414748647869e-01,7.450247485182518448e-01,7.452768387402796124e-01
2.400000000000000000e+01,2.400000000000000000e+01,2.400000000000000000e+01,6.823303675760383769e-01,6.414178537547459147e-01,6.435196351504958168e-01
2.500000000000000000e+01,2.500000000000000000e+01,2.500000000000000000e+01,5.768095467249263475e-01,5.604487922410416045e-01,5.639784809097899698e-01
2.600000000000000000e+01,2.600000000000000000e+01,2.600000000000000000e+01,4.896045074978350731e-01,4.937176908145939902e-01,4.945833100119382819e-01
2.700000000000000000e+01,2.700000000000000000e+01,2.700000000000000000e+01,4.181292198172273933e-01,4.354368362093403166e-01,4.360525392816858581e-01
2.800000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01,3.594997304319698106e-01,3.868842160627141147e-01,3.880673274679019569e-01
2.900000000000000000e+01,2.900000000000000000e+01,2.900000000000000000e+01,3.114773180015844578e-01,3.467309597966479751e-01,3.480832384131876678e-01
3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,2.721586252966327057e-01,3.129687519748782787e-01,3.149196755717535989e-01
3.100000000000000000e+01,3.100000000000000000e+01,3.100000000000000000e+01,2.399710270095777587e-01,2.864997373253206359e-01,2.918630699677708940e-01
3.200000000000000000e+01,3.200000000000000000e+01,3.200000000000000000e+01,2.115295829646707537e-01,2.674904451145402873e-01,2.735482373157349101e-01
3.300000000000000000e+01,3.300000000000000000e+01,3.300000000000000000e+01,1.895343184237105461e-01,2.519164438626109725e-01,2.577979832483334177e-01
3.400000000000000000e+01,3.400000000000000000e+01,3.400000000000000000e+01,1.726782386243128353e-01,2.384522587130093463e-01,2.443377137669495991e-01
3.500000000000000000e+01,3.500000000000000000e+01,3.500000000000000000e+01,1.595151021076563480e-01,2.267863388280181858e-01,2.325872501533928771e-01
3.600000000000000000e+01,3.600000000000000000e+01,3.600000000000000000e+01,1.490740061967538999e-01,2.164966520187373289e-01,2.209492605643972596e-01
3.700000000000000000e+01,3.700000000000000000e+01,3.700000000000000000e+01,1.406214415130530304e-01,2.060107752565715489e-01,2.012892259124733352e-01
3.800000000000000000e+01,3.800000000000000000e+01,3.800000000000000000e+01,1.336347010092076015e-01,1.878894875040361401e-01,1.819272108820444711e-01
